 2024-08-11 01:20:52:718 | thread_id:760 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:20:52'}
 2024-08-11 01:20:52:939 | thread_id:760 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/favicon.ico', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:20:52'}
 2024-08-11 01:27:38:852 | thread_id:2476 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:27:38'}
 2024-08-11 01:27:38:931 | thread_id:2476 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/favicon.ico', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:27:38'}
 2024-08-11 01:33:26:376 | thread_id:13708 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:33:26'}
 2024-08-11 01:33:26:445 | thread_id:13708 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/favicon.ico', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:33:26'}
 2024-08-11 01:54:28:743 | thread_id:5160 thread_name:MainThread | INFO | {'useragent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0', 'url': '/', 'method': 'GET', 'ip': '127.0.0.1', 'request_data': {'query_params': ''}, 'ts': '2024-08-11 01:54:28'}
 2024-08-11 01:54:29:102 | thread_id:5160 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 01:54:29:373 | thread_id:5160 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 01:54:29:396 | thread_id:5160 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
 2024-08-11 01:54:29:409 | thread_id:5160 thread_name:MainThread | ERROR | 127.0.0.1 上传次数过多
